Channel,AMPA,Antenna,Phi Sector,SURF Channel
1,A186,101,1,AH1
2,A222,103,3,BH1
3,A040,201,1,AH2
4,A021,203,3,BH2
5,A225,301,1,AH3
6,A183,303,3,BH3
7,A219,401,1,AH4
8,A025,403,3,BH4
9,A082,102,2,AH5
10,A223,104,4,BH5
11,A031,202,2,AH6
12,A175,204,4,BH6
13,A204,302,2,AH7
14,A099,304,4,BH7
15,A211,402,2,AH8
16,A220,404,4,BH8
17,A103,424,24,MV8
18,A177,422,22,LV8
19,A087,324,24,MV7
20,A088,322,22,LV7
21,A038,224,24,MV6
22,A167,222,22,LV6
23,A210,124,24,MV5
24,A188,122,22,LV5
25,A196,423,23,MV4
26,A055,421,21,LV4
27,A096,323,23,MV3
28,A202,321,21,LV3
29,A003,223,23,MV2
30,A158,221,21,LV2
31,A142,123,23,MV1
32,A102,121,21,LV1
33,A090,105,5,CH1
34,A011,107,7,DH1
35,A007,205,5,CH2
36,A105,207,7,DH2
37,A107,305,5,CH3
38,A041,307,7,DH3
39,A027,405,5,CH4
40,A026,407,7,DH4
41,A068,106,6,CH5
42,A022,108,8,DH5
43,A056,206,6,CH6
44,A001,208,8,DH6
45,A185,306,6,CH7
46,A075,308,8,DH7
47,A173,406,6,CH8
48,A050,408,8,DH8
49,A109,420,20,KV8
50,A165,418,18,JV8
51,A137,320,20,KV7
52,A124,318,18,JV7
53,A070,220,20,KV6
54,A215,218,18,JV6
55,A162,120,20,KV5
56,A227,118,18,JV5
57,A201,419,19,KV4
58,A213,417,17,JV4
59,A104,319,19,KV3
60,A235,317,17,JV3
61,A067,219,19,KV2
62,A123,217,17,JV2
63,A081,119,19,KV1
64,A191,117,17,JV1
65,A194,109,9,EH1
66,A216,111,11,FH1
67,A169,209,9,EH2
68,A085,211,11,FH2
69,A160,309,9,EH3
70,A140,311,11,FH3
71,A149,409,9,EH4
72,A144,411,11,FH4
73,A073,110,10,EH5
74,A049,112,12,FH5
75,A071,210,10,EH6
76,A086,212,12,FH6
77,A163,310,10,EH7
78,A132,312,12,FH7
79,A231,410,10,EH8
80,A023,412,12,FH8
81,A106,416,16,IV8
82,A019,414,14,GV8
83,A233,316,16,IV7
84,A232,314,14,GV7
85,A008,216,16,IV6
86,A053,214,14,GV6
87,A133,116,16,IV5
88,A060,114,14,GV5
89,A033,415,15,IV4
90,A048,413,13,GV4
91,A051,315,15,IV3
92,A203,313,13,GV3
93,A174,215,15,IV2
94,A111,213,13,GV2
95,A120,115,15,IV1
96,A006,113,13,GV1
97,A181,113,13,GH1
98,A212,115,15,IH1
99,A119,213,13,GH2
100,A161,215,15,IH2
101,A209,313,13,GH3
102,A141,315,15,IH3
103,A217,413,13,GH4
104,A108,415,15,IH4
105,A168,114,14,GH5
106,A028,116,16,IH5
107,A052,214,14,GH6
108,A072,216,16,IH6
109,A034,314,14,GH7
110,A139,316,16,IH7
111,A135,414,14,GH8
112,A176,416,16,IH8
113,A147,412,12,FV8
114,A016,410,10,EV8
115,A178,312,12,FV7
116,A171,310,10,EV7
117,A018,212,12,FV6
118,A197,210,10,EV6
119,A036,112,12,FV5
120,A032,110,10,EV5
121,A079,411,11,FV4
122,A077,409,9,EV4
123,A092,311,11,FV3
124,A066,309,9,EV3
125,A170,211,11,FV2
126,A083,209,9,EV2
127,A039,111,11,FV1
128,A091,109,9,EV1
129,A195,117,17,JH1
130,A064,119,19,KH1
131,A094,217,17,JH2
132,A190,219,19,KH2
133,A047,317,17,JH3
134,A138,319,19,KH3
135,A152,417,17,JH4
136,A145,419,19,KH4
137,A010,118,18,JH5
138,A143,120,20,KH5
139,A054,218,18,JH6
140,A100,220,20,KH6
141,A012,318,18,JH7
142,A035,320,20,KH7
143,A110,418,18,JH8
144,A198,420,20,KH8
145,A146,408,8,DV8
146,A164,406,6,CV8
147,A114,308,8,DV7
148,A093,306,6,CV7
149,A155,208,8,DV6
150,A131,206,6,CV6
151,A224,108,8,DV5
152,A118,106,6,CV5
153,A098,407,7,DV4
154,A020,405,5,CV4
155,A089,307,7,DV3
156,A113,305,5,CV3
157,A078,207,7,DV2
158,A116,205,5,CV2
159,A074,107,7,DV1
160,A063,105,5,CV1
161,A004,121,21,LH1
162,A218,123,23,MH1
163,A153,221,21,LH2
164,A157,223,23,MH2
165,A057,321,21,LH3
166,A101,323,23,MH3
167,A112,421,21,LH4
168,A200,423,23,MH4
169,A179,122,22,LH5
170,A121,124,24,MH5
171,A115,222,22,LH6
172,A024,224,24,MH6
173,A208,322,22,LH7
174,A226,324,24,MH7
175,A234,422,22,LH8
176,A180,424,24,MH8
177,A097,404,4,BV8
178,A125,402,2,AV8
179,A062,304,4,BV7
180,A129,302,2,AV7
181,A172,204,4,BV6
182,A046,202,2,AV6
183,A080,104,4,BV5
184,A148,102,2,AV5
185,A128,403,3,BV4
186,A151,401,1,AV4
187,A043,303,3,BV3
188,A122,301,1,AV3
189,A207,203,3,BV2
190,A029,201,1,AV2
191,A130,103,3,BV1
192,A061,101,1,AV1
